 ,P1 (ref),P2,P3,N1,N2,KOMENTÁŘ ÚTRL,vzájemné revize - ukázky
Are hopes for a nuclear-free world realistic?,Jsou naděje na svět bez nukleárních zbraní realistické?,Jsou naděje na svět bez jaderných zbraní reálné?,Jsou realistické naděje na svět bez atomových zbraní?,Jsou naděje na svět bez jaderných zbraní realistické?,,,
"Seventy-four years ago, two nuclear bombs were detonated over Hiroshima and Nagasaki, killing tens of thousands of people.","Před sedmdesáti čtyřmi lety byly na Hirošimu a Nagasaki shozeny dvě jaderné bomby, které zabily desetitisíce lidí.",Před sedmdesáti čtyřmi lety byly odpáleny dvě jaderné bomby nad Hirošimou a Nagasaki. Zabily desetitisíce lidí.,Před sedmdesáti čtyřmi lety explodovaly nad Hiroshimou a Nagasaki dvě atomové bomby a zabily desítky tisíc lidí.,"Před sedmdesáti čtyřmi lety byly na Hirošimu a Nagasaki shozeny dvě jaderné bomby, které zabily desetitisíce lidí.",,,
"Since then, wherever conflict between major powers rises, so does the threat of a nuclear war.","Od té doby hrozí vypuknutí jaderné války všude tam, kde se rozroste konflikt mezi předními světovými velmocemi.","Od té doby, kdykoli vznikne konflikt mezi hlavními mocnostmi, je tu také hrozba jaderné války.","Kdykoli od té doby nastal konflikt velmocí, rostla s ním i hrozba jaderné války.","Od té doby hrozí vypuknutí jaderné války všude tam, kde nastane konflikt mezi hlavními velmocemi.","Od té doby hrozí vypuknutí atomové války všude tam, kde nastane konflikt mezi předními světovými velmocemi.",,
"Various treaties have attempted to suppress that threat, yet today there are nearly 14,000 nuclear weapons based around the world.","Ačkoliv byly pokusy potlačit tuto hrozbu uzavíráním nejrůznějších dohod, po celém světě se dnes nachází téměř 14 000 jaderných zbraní.","Byly zde pokusy o různé smlouvy na potlačení této hrozby, ale i dnes je po světě rozmístěno téměř 14000 jaderných zbraní.","Různé dohody se pokoušely tuto hrozbu snížit, nicméně dnes je všude po světě rozmístěných téměř 14 000 atomových zbraní.","Potlačit tuto hrozbu se již pokusily nejrůznější dohody, přesto se dnes po celém světě nachází téměř 14 000 jaderných zbraní.",,,
"Thursday marks the International Day for the Total Elimination of Nuclear Weapons, but it's a goal that looks increasingly less likely.","Čtvrtek je Mezinárodním dnem za úplné jaderné odzbrojení, avšak jedná se o vizi, která se stále jeví být obtížně uskutečnitelná.","Čtvrtek je mezinárodním dnem za úplné jaderné odzbrojení, ale tento cíl se zdá být čím dál tím méně pravděpodobným.","Ve čtvrtek se slaví Mezinárodní den úplného odstranění jaderných zbraní, ale tento cíl se zdá být stále méně pravděpodobný.","Čtvrtek je Mezinárodním dnem za úplné jaderné odzbrojení, avšak jedná se o cíl, který se podle všeho stále více vzdaluje.","Ve čtvrtek si připomínáme Mezinárodní den za úplné jaderné odzbrojení. Jedná se však o vizi, kterou je zjevně stále obtížnější uskutečnit.",,
"So, is there the political will to abolish these weapons?",Existuje tedy opravdu politická vůle tyto zbraně zrušit?,"Takže, existuje zde politická vůle zrušit tyto zbraně?",Tak je tady politická vůle tyto zbraně zrušit?,Existuje tedy opravdu politická vůle tyto zbraně zrušit?,,,
,,,,,,,
,,,,,,,
aj-english.8642,,,,,,,
UK parliament rejects second bid for early election,Britský parlament zamítl druhý návrh na vypsání předčasných voleb,Britský parlament odmítl druhý pokus o předčasné volby,Britský parlament zamítl druhou žádost o předčasné volby,Britský parlament zamítl druhý návrh na vypsání předčasných voleb,,,
Prime Minister Boris Johnson has been dealt another blow in his push for an early election in the United Kingdom.,Předseda vlády Boris Johnson dostal další úder ve svém úsilí prosadit předčasné volby ve Spojeném království.,Premiér Boris Johnson promarnil další pokus ve své snaze o vyvolání předčasných voleb ve Spojeném království.,Snaha předsedy vlády Borise Johnsona o předčasné volby ve Spojeném království utržila další ránu.,Snaha premiéra Borise Johnsona prosadit předčasné volby ve Spojeném království dostala další ránu.,,,
The House of Commons speaker says under current rules it will not be possible to go to the polls before October 31 - the day Britain is scheduled to leave the European Union.,"Předseda Dolní komory parlamentu prohlásil, že podle současných pravidel není možné k volebním urnám přistoupit dříve než 31. října – v den, kdy má Británie odejít z Evropské unie.","Mluvčí dolní sněmovny parlamentu tvrdí, že za současných pravidel nebude možné jít k volbám dříve než 31. října - v den, kdy si Británie naplánovala odchod z Evropské unie.","Podle současných pravidel nejsou volby možné dříve než 31.října, což je den plánovaného vystoupení Británie z Evropské Unie, uvedl mluvčí sněmovny.","Předseda dolní komory parlamentu prohlásil, že podle současných pravidel lidé nebudou moci k volebním urnám přijít dříve než 31. října – v den, kdy má Británie odejít z Evropské unie.",,P2+P3 nepochopeno speaker,
Parliament has met for the second day since the Supreme Court ruled its suspension as unlawful.,"Parlament se setkal následující den po rozhodnutí Nejvyššího soudu, že vynucená přestávka v jeho zasedání je nezákonná.","Parlament se sešel druhý den od té doby, kdy Nejvyšší soud rozhodl, že jeho rozpuštění je nezákonné.","Parlament se sešel druhý den poté, co Nejvyšší soud prohlásil toto pozastavení za nezákonné.","Parlament se sešel už podruhé od rozhodnutí Nejvyššího soudu, podle nějž bylo jeho rozpuštění nezákonné.",,"second day - druhý den rokování, nikoli druhý den po rozhodnutí",
"Meanwhile, the EU's lead negotiator, Michael Barnier, says the bloc is still waiting for new plans from the UK.","Mezitím hlavní brexitový vyjednavač EU Michael Barnier řekl, že unijní blok stále čeká na nové návrhy ze strany Spojeného království.","Mezitím hlavní vyjednavač EU, Michael Barnier, řekl, že blok stále čeká na nové plány Velké Británie.","Podle Michaela Barniera, vrchního vyjednavače EU, zatím koalice stále čeká na nové plány Spojeného království.","Hlavní vyjednavač EU Michael Barnier mezitím upozornil, že unijní blok ze strany Spojeného království stále čeká na nové návrhy.","Hlavní unijní vyjednavač Michael Barnier mezitím upozornil, že Unie stále čeká na to, až Velká Británie předloží nové plány.","chyba originálu: správně Michel, ale chybu zachováváme
",
,,,,,,,
,,,,,,,
aj-english.8643,,,,,,,
Afghanistan boosts security for presidential election,Afghánistán zvyšuje bezpečnostní opatření provázející prezidentské volby,Afghanistán posiluje bezpečnost kvůli prezidentským volbám,Afghánistán zesiluje bezpečnost kvůli volbě prezidenta,Afghánistán posiluje bezpečnost kvůli prezidentským volbám,Afghánistán kvůli prezidentským volbám zvyšuje bezpečnostní opatření,,
A massive security operation is in place across Afghanistan for the country's presidential election on Saturday.,V Afghánistánu probíhají masivní bezpečnostní opatření pro zajištění bezpečnosti při sobotních prezidentských volbách.,"Masivní bezpečnostní operace probíhá v Afghanistánu kvůli tamním prezidentským volbám, které se konají v sobotu.",V celém Afghánistánu probíhá masivní bezpečnostní operace spojená se sobotními prezidentskými volbami.,V Afghánistánu probíhají v souvislosti se sobotními prezidentskými volbami masivní bezpečnostní opatření.,,,
"About 100,000 security personnel are to guard polling stations in the wake of Taliban threats.","Zhruba 100 000 bezpečnostních pracovníků bude hlídat volební místnosti, aby se předešlo hrozbě ze strany Talibanu.",Asi 100 000 bezpečnostních pracovníků bude hlídat volební místnosti v důsledku hrozeb Talibanu.,Kolem 100 000 členů bezpečnostního personálu má za úkol střežit volební místnosti v reakci na hrozby Talibanu.,Zhruba 100 000 bezpečnostních pracovníků bude hlídat volební místnosti v reakci na hrozby Talibanu.,Volební místnosti má za úkol hlídat zhruba 100 tisíc ozbrojenců. Jde o reakci na hrozby Tálibánu.,,
"The fear of reprisals means many voters - particularly in rural areas - will stay at home, while others say the voting system favours the powerful, not the poor.","V důsledku obav z represí mnoho voličů – zejména ve venkovských oblastech – zůstane doma, další říkají, že systém hlasování zvýhodňuje mocné, a nikoliv chudé obyvatelstvo.","Strach z represí znamená, že mnoho voličů, hlavně ve venkovských oblastech, zůstane doma, zatímco jiní tvrdí, že volební systém upřednostňuje mocné, ne chudé.","Strach z odvetných akcí donutí mnoho voličů zejména z venkovských oblastí zůstat doma, zatímco někteří tvrdí, že volební systém zvýhodňuje mocné na úkor chudých.","V důsledku obav z represí mnoho voličů, zejména ve venkovských oblastech, zůstane doma, další říkají, že systém hlasování zvýhodňuje mocné, a nikoliv chudé lidi.",Kvůli obavám z represí hodlá mnoho voličů hlavně ve venkovských oblastech zůstat doma. Podle jiných zase systém hlasování zvýhodňuje mocné na úkor chudých lidí.,,
,,,,,,,
,,,,,,,
allafrica.15314,,,,,,,
Uganda: Government Launches Oral HIV Self-Test Kit,Uganda: Vláda uvedla na trh ústní testovací sadu pro samovyšetření HIV,Uganda: Vláda uvádí orální samotestovací sadu na HIV,Uganda: Vláda vypouští ústní samotestovací sadu na HIV,Uganda: Vláda uvedla na trh samotestovací sadu na přítomnost viru HIV v ústních tekutinách,Ugandská vláda dala do prodeje samotestovací sadu na přítomnost viru HIV ve slinách,,"V: ""ústní sada"", ""ústní samotestovací sada"", ""ústní (samo)testování"" - nic z toho v češtině nefunguje, u testů se používá spojení jako např. ""přítomnost viru ve vzorcích ústní tekutiny"", např. https://www.mall.cz/znacka/oraquick, návrh: uvedla na trh samotestovací sadu na přítomnost viru HIV v ústních tekutinách (N2 ve slinách)"
"Ministry of Health has launched an oral HIV self-test kit aimed at empowering citizens, especially men to carry out HIV testing.","Ministerstvo zdravotnictví uvedlo na trh ústní testovací sadu pro samovyšetření HIV, jejímž cílem je umožnit občanům, zejména mužského pohlaví, aby si mohli sami provádět testy na přítomnost viru HIV v organismu.","Ministerstvo zdravotnictví spustilo orální samotestovací sadu na HIV, jejímž účelem je umožnit občanům, zejména mužům, provádět testování na HIV.","Ministerstvo zdravotnictví dává do oběhu ústní samotestovací sadu na HIV za účelem motivovat občany, zejména muže, k podstoupení HIV testování.","Ministerstvo zdravotnictví uvedlo na trh sadu pro samotestování na HIV ze slin, jejímž cílem je umožnit občanům, zejména mužům, aby se sami testovali na HIV.","Ministerstvo zdravotnictví uvedlo na trh sadu pro samotestování na přítomnost viru HIV ve vzorcích ústní tekutiny. Souprava má umožnit občanům, zejména mužům, aby si testy na HIV mohli dělat sami.",,"V: ""v krvi"" - musí tam být, když není v orig? testuje se to z ústních tekutin, tedy virus bude asi i v krvi, ale má to zde vlastně nějakou funkci?
V: viz výše ten problém s ""ústní"" (ani ústní cestou nefunguje, myslím, protože to by mohl být prostředek k provedení testu třeba někde jinde, ne přímo ve slinách)
V: druhá část větného celku - změna slovosledu? že to budou tyhle testy, to víme, není větší důraz na tom, že si je budou moci provádět sami (aspoň v N2)?"
